thana_id,thana_code,thana_id_legacy,thana_name,thana_name_bn,district_id,city_corp
332,3093,309357,Madhupur,মধুপুর,64,
333,4055,405557,Magura Sadar,মাগুরা সদর,35,
334,5064,506450,Mahadebpur,মহাদেবপুর,41,
335,2046,204665,Mahalchhari,মহালছড়ি,27,
336,2022,202249,Maheshkhali,মহেশখালী,13,
337,4044,404471,Maheshpur,মহেশপুর,26,
338,9997,999701,Manama,মানামা,70,
339,5064,506447,Manda,মান্দা,41,
340,2046,204667,Manikchhari,মানিকছড়ি,27,
341,3056,305646,Manikganj Sadar,মানিকগঞ্জ সদর,36,
342,4041,404161,Manirampur,মণিরামপুর,24,
343,3068,306852,Manohardi,মনোহরদী,44,
344,2019,201974,Manoharganj,মনোহরগঞ্জ,12,
345,1009,100965,Manpura,মনপুরা,6,
346,1079,107958,Mathbaria,মঠবাড়িয়া,53,
347,5081,508140,Matihar,মতিহার,54,
348,2046,204670,Matiranga,মাটিরাঙ্গা,27,
349,2013,201376,Matlab Dakshin,মতলব দক্ষিণ,9,
350,2013,201379,Matlab Uttar,মতলব উতর,9,
351,6058,605874,Maulvibazar Sadar,মৌলভীবাজার সদর,38,
352,2019,201975,Meghna,মেঘনা,12,
353,1006,100662,Mehendiganj,মেহেন্দিগঞ্জ,5,
354,4057,405787,Meherpur Sadar,মেহেরপুর সদর,37,
355,4539,453961,Melandaha,মেলান্দহ,23,
356,4050,405094,Mirpur,মিরপুর,31,
357,3026,302648,Mirpur,মিরপুর,14,N
358,2015,201553,Mirsharai,মিরসরাই,10,
359,1078,107876,Mirzaganj Upazila,মির্জাগঞ্জ উপজেলা,52,
360,3093,309366,Mirzapur,মির্জাপুর,64,
361,5585,558558,Mitha Pukur,মিঠা পুকুর,57,
362,3048,304859,Mithamain,মিঠামইন,29,
363,9996,999603,Modina,মদিনা,69,
364,4055,405566,Mohammadpur,মোহাম্মদপুর,35,
365,3026,302650,Mohammadpur,মোহাম্মদপুর,14,N
366,4572,457263,Mohanganj,মোহনগঞ্জ,47,
