id,eiin,pbgsi_scheme,pbsci_fiscal_year,functional_smc_mmc_gb,meetings_2022,meetings_2023,annual_budget_approved,public_participation,academic_initiatives,responsibilities_completed,functional_pta,pta_meetings_2022,pta_meetings_2023,pta_public_participation,cleanliness_involvement,smag_mmag_gb_discussion,smag_mmag_gb_resolution,sexual_harassment_committee,committee_regular_work,annual_social_audit,audit_observations_displayed,eims_submission_timely,board,ssc_2021_total_students,ssc_2021_passed_students,ssc_board_2021_pass_rate,ssc_2022_total_students,ssc_2022_passed_students,ssc_board_2022_pass_rate,hsc_2021_total_students,hsc_2021_passed_students,hsc_board_2021_pass_rate,hsc_2022_total_students,hsc_2022_passed_students,hsc_board_2022_pass_rate,pass_rate,students_attendance_2022,teachers_attendance_2022,report_card_regularly_stored,report_card_displayed,report_card_not_regularly_stored,separate_washrooms,common_room,first_aid,no_adequate_facilities_washroom,clean_environment,regular_cleaning_plan,student_participation_in_cleaning,cleaning_activities,martyrs_memorial,separate_library,liberation_war_corner,playground,national_anthem_with_parade,indoor_national_anthem,national_days_celebrated,proper_flag_hoisting,cultural_competitions,bncc,scout_girls_guide_rover,sports_competitions,debate_competitions,anti_smoking_campaign,anti_terrorism_campaign,anti_child_marriage_campaign,laboratory,report_card_published_in_web,garden_scope,anti_narcotics_campaign,tree_plantation_campaign,anti_cyber_bullying,was_returned
15920,125464,true,2022-2023,true,5,7,true,true,true,true,false,,,false,false,false,false,true,true,,false,true,RAJSHAHI,66,57,86.36,86,67,77.91,,,0,,,0,,90,99,true,true,false,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,false,false,false,false
15921,109942,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15922,118667,false,2022-2023,true,10,9,true,true,true,true,,,,,,,,true,true,,,true,JESSORE,34,30,88,47,44,93,,,,,,,,80,80,,,,true,true,false,,true,true,true,,false,false,,true,true,true,true,true,true,false,true,true,true,true,true,true,,,,,,,false
15923,129359,true,2022-2023,true,14,15,true,true,true,true,,,,,,,,true,true,,,true,SYLHET,71,68,95.77,70,60,85.01,,,,,,,,70,100,,,true,false,false,true,,true,true,true,,true,true,,true,true,true,true,true,true,false,true,true,true,true,false,true,,,,,,,false
15924,103901,true,2023-2024,true,6,4,false,true,true,true,,,,,,,,true,true,,,true,COMILLA,190,178,85,105,98,83,,,,,,,,85,90,true,true,true,true,true,true,,true,true,true,,true,true,,true,true,true,true,true,true,false,true,true,true,true,true,true,,,,,,,false
15925,108054,true,2022-2023,true,5,7,false,true,true,true,,,,,,,,true,true,,,true,DHAKA,263,249,94,320,243,75,,,,,,,,85,95,true,true,true,true,true,true,,true,true,true,,true,true,,true,true,true,true,true,true,false,true,true,true,true,true,true,,,,,,,false
15926,129065,false,,false,,,false,false,false,false,false,,,false,false,false,false,false,,,false,,,,,0,,,0,,,0,,,0,,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
15927,102844,true,2022-2023,true,11,17,true,true,true,true,false,,,false,false,false,false,true,true,,false,true,BARISHAL,44,35,90.18,28,27,89.61,,,0,,,0,,99,98,false,true,true,false,false,false,false,true,true,true,false,true,false,false,true,true,true,true,true,true,false,true,true,true,true,false,true,false,false,false,false,false,false,false
15928,119635,true,2023-2024,true,13,6,true,false,true,false,,,,,,,,true,true,,,true,RAJSHAHI,26,24,94.71,27,16,85.88,,,,,,,,80,95,,,true,true,true,true,,true,true,true,,true,true,,true,true,false,true,true,true,false,true,true,true,true,true,true,,,,,,,false
15929,110313,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
