id,eiin,teachers_count_total,teachers_count_female,staff_count_total,staff_count_female,trained_teachers,total_students,total_female_students,has_six_grade,total_seats_six,total_students_six,female_students_six,has_seven_grade,total_seats_seven,total_students_seven,female_students_seven,has_eight_grade,total_seats_eight,total_students_eight,female_students_eight,has_nine_grade,total_seats_nine,total_students_nine,female_students_nine,has_ten_grade,total_seats_ten,total_students_ten,female_students_ten,has_eleven_grade,total_seats_eleven,total_students_eleven,female_students_eleven,has_twelve_grade,total_seats_twelve,total_students_twelve,female_students_twelve,technical_teacher_count_total,technical_teacher_count_female,technical_staff_count_total,technical_staff_count_female,technical_trained_teachers,technical_ict_teachers,technical_total_male_students,technical_total_female_students,technical_total_seats,technical_total_students,total_seats_part_1,total_students_part_1,female_students_part1,total_seats_part_2,total_students_part_2,female_students_part2,total_seats_part_3,total_students_part_3,female_students_part3,total_seats_part_4,total_students_part_4,female_students_part4,total_seats_part_5,total_students_part_5,female_students_part5,total_seats_part_6,total_students_part_6,female_students_part6,total_seats_part_7,total_students_part_7,female_students_part7,total_seats_part_8,total_students_part_8,female_students_part8,female_students_part_1,female_students_part_2,female_students_part_3,female_students_part_4,female_students_part_5,female_students_part_6,female_students_part_7,female_students_part_8
5225,122370,11,2,6,1,7,160,57,true,40,39,15,true,40,38,11,true,45,45,15,true,40,20,8,true,40,18,8,false,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5226,129400,12,2,4,1,3,421,284,true,150,106,68,true,150,82,53,true,150,65,46,true,150,92,60,true,150,76,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5227,137576,13,5,0,0,0,140,78,true,60,50,30,true,60,50,28,true,60,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5228,134587,36,21,11,7,15,160,126,true,30,25,16,true,30,21,13,true,40,39,31,true,40,38,29,true,30,22,22,true,30,0,0,true,20,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5229,107009,18,5,5,1,25,975,354,true,300,230,79,true,300,240,85,true,250,205,60,true,200,160,75,true,200,140,55,,,,,,,,,7,1,1,0,7,0,,21,200,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5230,56ccac14-c756-44ac-8bd3-f158e4d840e3,20,3,1,0,0,80,30,true,0,0,0,true,0,15,7,true,0,14,5,true,0,15,4,true,0,10,3,true,0,12,4,true,0,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5231,603671009,10,9,1,1,0,59,34,true,50,26,14,true,50,19,12,true,50,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5232,101478,22,2,4,1,4,198,198,true,0,28,28,true,0,48,48,true,0,42,42,true,0,22,22,true,0,22,22,true,0,24,24,true,0,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5233,140147,5,1,1,1,0,44,7,,,,,,,,,,,,,,,,,,,,,false,,,,true,50,44,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5234,117942,11,3,4,0,9,180,74,true,60,45,19,true,60,47,22,true,60,30,11,true,60,28,11,true,60,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5235,108644,13,2,6,1,10,287,169,true,60,76,45,true,60,68,33,true,60,59,36,true,60,47,30,true,60,37,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5236,112197,18,5,5,1,17,595,176,true,160,80,25,true,160,123,33,true,160,129,37,true,160,151,39,true,160,112,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5237,453936196,10,6,1,1,0,142,92,true,30,30,20,true,30,25,15,true,30,15,10,true,30,27,15,true,60,45,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5238,118267,12,4,4,0,9,336,0,true,55,96,0,true,55,92,0,true,55,68,0,true,55,51,0,true,55,29,0,,,,,,,,,10,3,2,0,6,1,,3,120,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5239,139162,18,7,7,1,14,226,122,true,65,63,33,true,65,55,30,true,65,49,25,true,65,30,18,true,65,29,16,false,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5240,609162354,7,0,0,0,0,11,11,true,20,11,11,true,0,0,0,true,0,0,0,true,0,0,0,true,0,0,0,true,0,0,0,true,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5241,137953,9,2,0,0,0,226,132,true,55,44,28,true,55,51,30,true,55,39,21,true,55,46,27,true,55,46,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5242,139522,30,7,36,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5243,119042,13,3,6,1,11,181,103,true,55,21,12,true,55,46,25,true,55,54,29,true,55,32,19,true,55,28,18,true,0,0,0,true,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5244,108004,8,2,1,0,5,188,113,true,100,67,36,true,50,51,21,true,50,30,18,true,40,28,27,true,40,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5245,129852,15,2,5,1,4,296,133,true,80,57,23,true,80,63,29,true,80,76,39,true,80,54,24,true,80,46,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5246,123186,13,3,5,1,3,115,42,true,40,23,10,true,40,22,5,true,40,24,10,true,40,26,11,true,40,20,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5247,117322,37,14,14,2,1,712,287,true,0,0,0,true,0,0,0,true,0,0,0,true,0,0,0,true,0,0,0,true,550,355,143,true,550,357,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5248,138760,10,3,8,2,0,236,236,,,,,,,,,,,,,,,,,,,,,true,100,92,92,true,100,144,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5249,100665,26,10,7,2,18,1298,532,true,250,234,89,true,250,239,95,true,250,231,91,true,250,194,91,true,250,236,99,true,150,68,34,true,150,96,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5250,138644,21,5,2,2,18,756,415,true,300,263,142,true,300,271,153,true,300,222,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5251,105755,21,8,6,1,15,485,0,true,110,117,0,true,110,134,0,true,110,88,0,true,110,65,0,true,110,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5252,116576,15,5,7,1,12,409,164,true,110,70,33,true,110,96,35,true,110,76,29,true,110,82,35,true,110,85,32,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5253,306758042,17,13,2,1,3,59,18,true,30,16,1,true,30,15,10,true,30,10,3,true,30,15,4,true,30,3,0,,,,,,,,,6,4,1,1,0,0,,2,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5254,116800,18,4,7,1,16,659,337,true,110,111,62,true,110,115,52,true,110,109,48,true,165,165,85,true,110,159,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5255,116364,28,6,7,1,4,337,107,true,80,60,25,true,80,50,12,true,80,88,20,true,80,39,12,true,80,35,11,true,50,29,12,true,50,36,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5256,121272,12,3,5,1,7,190,190,true,50,43,43,true,50,21,21,true,100,72,72,true,50,33,33,true,50,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5257,134373,8,2,8,3,0,120,47,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,,,,,,,,,25,17,,25,16,,25,20,,25,19,,25,16,,25,12,,25,10,,25,10,,8,7,12,10,5,3,1,1
5258,107752,10,4,7,1,7,262,262,true,100,55,55,true,100,67,67,true,100,38,38,true,100,58,58,true,100,44,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5259,102678,13,2,7,1,4,304,124,true,60,52,23,true,60,41,15,true,60,37,17,true,60,41,15,true,60,37,12,true,70,52,22,true,70,44,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5260,130155,13,3,6,1,13,434,243,true,110,79,40,true,110,85,45,true,110,86,60,true,110,85,46,true,110,99,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5261,134963,11,7,1,1,0,46,17,true,20,16,8,true,20,12,4,true,20,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5262,117769,25,9,7,1,18,1126,601,true,220,230,116,true,220,239,129,true,220,284,158,true,220,226,115,true,220,147,83,,,,,,,,,2,1,2,1,0,0,,26,40,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5263,134318,17,8,3,2,2,233,132,true,65,55,35,true,65,45,22,true,65,40,24,true,65,40,20,true,65,53,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5264,101972,31,11,16,9,0,534,534,false,,,,false,,,,false,,,,false,,,,false,,,,true,450,286,286,true,450,248,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5265,124141,28,12,18,5,7,665,159,true,100,82,11,true,100,80,8,true,100,59,5,true,100,74,24,true,120,120,23,true,450,81,30,true,450,169,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5266,133827,14,2,3,0,2,468,334,true,105,105,83,true,110,110,65,true,120,120,90,true,75,75,50,true,58,58,46,true,0,0,0,true,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
