id,eiin,geographical_position,has_student_toilet,total_toilet_for_boys,total_toilet_for_girls,total_toilet_for_special_needs,has_teacher_toilet,total_toilet_for_male_teachers,total_toilet_for_female_teachers,total_toilet_for_commons,has_wash_block,total_wash_block_for_boys,total_wash_block_for_girls,total_wash_block_for_girls_with_napkin_facility,total_wash_block_for_male_teachers,total_wash_block_for_female_teachers,total_wash_block_for_commons,has_common_room,total_common_room_for_boys,total_common_room_for_girls,has_pta,has_fast_aid_box,conducts_cleaning_program,cleaning_program_number,has_playground,conducts_assembly,celebrates_national_days,has_shahid_minar,conducts_co_curricular_activities,annual_cultural_program,bncc,scout,girls_guide,rover,annual_sports,debate,conducts_awareness_programs,baalyabibaha_rodh,evtijing_protirodh,madok_birodhi_karyakram,sontrash_birodhi_karyakram,jangibad_domon_karyakram,nirapod_shorok_chai_karyakram,community_interaction,acid_nikkhep_protirudh,booling_protirudh,has_boundary_wall,boundary_type,has_safe_water,tubewell,deep_tubewell,supply_water,tap_water,rain_water,purifying_plant,fountain,well,has_ramp_for_disabled,sports_field,garden,open_space,enclosed_with_plants,few_plants,no_plants,pond_or_waterbody,has_electricity,national_grid,generator,solar,has_boundary_marked_wall,has_pond,has_temporary_wall,has_permanent_wall,has_partial_wall,has_natural_wall,was_flooded,flooded_year,days_closed_for_flood
25482,134321,1,true,5,5,1,true,1,1,0,true,2,1,0,0,0,0,false,,,true,true,true,12,true,true,true,true,true,true,,,,,true,true,true,true,true,true,,,,,,,true,,true,true,true,,,,true,,,false,true,true,true,true,,,,true,true,,,,,,true,,,false,,
25483,128520,4,true,1,1,0,true,1,1,0,true,0,0,0,0,0,1,true,0,1,true,false,true,6,true,true,true,false,true,true,,,,,true,true,true,true,true,true,,,,,,,false,,true,true,true,,,,,,,false,true,,,,true,,,true,true,,false,,,,,,,false,,
25484,207547010,1,true,6,5,0,true,1,1,1,true,2,1,0,1,1,0,true,0,1,false,true,true,12,false,false,true,false,true,true,,,,,true,true,true,true,true,true,,,true,,,true,false,,true,true,,,,,,,,false,,,,,,,,true,true,true,,,,,,,,true,2024,15
25485,303330128,1,true,1,1,0,true,0,0,1,false,,,,,,,true,0,1,false,true,true,12,true,true,true,false,true,true,false,false,false,false,true,true,true,true,true,true,false,false,true,false,true,true,true,,true,false,true,false,false,false,false,false,false,false,true,true,true,true,false,false,false,true,true,true,false,false,false,false,true,false,false,false,,
25486,120997,1,true,0,5,0,true,5,6,1,true,0,0,4,4,4,0,false,,,false,true,true,3,true,true,true,false,true,true,,true,true,,true,true,true,true,true,true,,,,,true,,true,,true,,true,,,,,,,true,true,,,true,,,,true,true,,true,,,,,true,,false,,
25487,137614,1,true,4,4,0,true,1,1,0,true,4,4,0,1,1,0,true,0,1,false,true,true,64,true,true,true,false,true,true,,,false,false,true,true,true,true,true,true,,,true,false,true,,false,,true,true,true,,true,,,,,true,true,false,true,,,,true,true,true,,true,,,,,,,true,2023,21
25488,101089,2,true,1,1,0,true,1,1,1,true,0,0,0,0,0,1,true,0,1,true,true,true,3,true,true,true,false,true,true,,,,,true,true,true,true,true,true,,,,,true,,false,,true,,true,,,,,,,true,true,,true,,true,,,true,true,,,,,,,,,false,,
25489,107633,1,true,1,1,0,true,1,1,0,false,,,,,,,false,,,true,true,true,6,true,true,true,false,true,true,,,,,true,,true,true,true,true,,,true,,true,,false,,true,false,,,,true,,,,false,,,,,true,,,true,true,,true,,,,,,,true,2024,20
25490,100331,3,true,1,1,0,true,1,1,1,true,0,0,0,0,0,0,true,1,1,true,true,true,12,true,true,true,true,true,true,true,,,true,true,true,true,true,true,true,,,true,true,true,true,true,,true,,,true,true,true,true,false,true,false,true,,true,true,false,,true,true,true,,,true,false,true,,true,true,true,2024,1
25491,122187,1,true,12,12,1,true,4,4,0,true,8,8,4,2,2,4,true,0,1,true,true,true,10,true,true,true,false,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,true,true,true,false,,true,true,true,false,true,false,true,false,false,true,true,false,true,true,true,false,false,true,true,false,false,false,false,false,false,false,false,false,,
25492,124420,1,true,9,10,0,true,2,1,0,true,0,0,0,1,0,6,true,1,1,false,true,true,3,true,true,true,false,true,true,false,true,false,false,true,false,true,true,true,true,false,false,true,true,false,false,true,,true,true,true,false,false,false,false,false,false,true,true,true,true,false,true,false,false,true,true,false,false,false,false,false,false,true,false,false,,
25493,139723,1,true,3,3,0,true,1,0,0,false,,,,,,,true,0,1,false,true,true,6,true,true,true,false,true,true,false,false,false,false,true,true,true,true,true,true,false,false,true,true,true,true,true,,true,true,false,false,true,false,false,false,false,false,true,true,true,true,false,false,false,true,true,true,true,false,false,false,true,false,false,false,,
25494,202294021,1,true,5,0,0,true,0,0,1,false,,,,,,,false,,,false,false,true,9,false,true,true,false,true,true,,,,,true,true,true,true,true,true,,,,,,,true,,true,,true,,,,,,false,false,,true,true,true,,,true,true,true,,,true,,,true,,,false,,
25495,104796,2,true,4,6,0,true,1,1,0,true,1,1,1,1,1,0,false,,,true,true,true,2,true,true,true,true,true,true,,true,true,false,true,true,true,true,true,true,,,,,true,true,true,,true,,true,,,,,,,false,true,true,true,true,,,,true,true,,,,,true,,,,false,,
25496,111117,1,true,6,6,0,true,3,3,1,true,2,2,0,1,1,1,true,1,1,false,true,true,10,true,true,true,true,true,true,,true,,,true,true,true,true,true,true,,,,,,,true,,true,true,true,,true,,,,,false,true,true,true,true,,,,true,true,,,true,,,true,,,true,2020,10
25497,201202013,1,true,3,3,0,true,1,1,0,true,1,1,0,0,0,1,true,0,1,false,true,true,3,true,true,true,false,true,true,false,false,false,false,true,true,true,true,false,true,false,false,false,false,false,false,true,,true,true,false,false,true,false,false,false,false,false,true,true,true,true,false,false,false,true,true,false,false,true,false,false,true,false,false,false,,
25498,129305,1,true,20,4,0,true,7,7,2,false,,,,,,,true,0,1,true,true,true,10,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,true,true,,true,true,false,true,false,false,false,false,false,false,true,true,true,true,false,false,false,true,true,true,false,false,false,false,true,false,false,false,,
25499,130376,1,true,1,4,80,true,0,0,1,false,,,,,,,false,,,true,true,true,2,true,true,true,false,true,true,false,false,false,false,true,true,true,false,true,true,false,false,false,false,false,false,false,,true,false,true,false,false,false,false,false,false,false,true,false,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,true,2022,10
25500,125127,1,true,2,1,0,true,1,1,15,false,,,,,,,false,,,false,true,true,15,true,true,true,false,true,true,,,,,true,true,true,true,true,true,,,,,,false,false,,true,true,,,,,,,,false,true,true,true,true,,,true,true,true,,,,,,,,,false,,
25501,132133,1,true,4,3,0,true,1,1,0,true,0,0,0,1,1,1,true,0,1,false,false,true,12,true,true,true,true,true,true,,,,,true,true,true,true,true,true,,,true,,true,true,true,,true,,true,,,,,,,true,true,,,true,true,,,true,true,,,,,,,true,,true,2024,0
25502,138323,1,true,6,1,0,true,1,1,1,false,,,,,,,true,1,1,true,true,true,3,true,false,true,false,true,true,,,,,true,true,true,true,true,true,,,true,,true,,true,,true,,true,true,,,,,,false,true,true,true,,,,true,true,true,,,,,,true,,,true,2024,15
25503,105230,1,true,4,3,0,true,2,1,1,true,1,1,1,1,1,1,true,0,1,true,true,true,3,true,true,true,true,true,true,,true,,,true,true,true,true,true,true,,,true,,true,true,true,,true,true,,,,,,,,true,true,true,true,true,,,,true,true,,,,,,,true,,true,2024,14
25504,106428,1,true,3,7,1,true,1,1,1,true,3,6,1,1,1,0,true,1,1,true,true,true,1,true,true,true,true,true,true,,true,true,,true,true,true,true,true,true,,,,true,true,true,true,,true,,true,,,,,,,true,true,,true,true,true,,,true,true,,true,,,,,true,,false,,
25505,138071,4,false,0,0,0,false,,,,false,,,,,,,false,,,true,false,true,9,true,true,true,false,true,true,,,,,true,true,true,true,true,true,,,true,,,,true,,true,,true,false,,,,,,false,true,,,,true,,,true,true,,,,,false,,true,,true,2022,30
25506,103566,1,true,0,15,0,true,3,2,0,true,0,8,0,2,2,0,true,0,1,true,true,true,15,true,true,true,true,true,true,,,,,true,true,true,true,true,true,,,false,,true,,true,,true,true,true,,true,,,,,true,true,,true,true,,,,true,true,,,,,,,true,,false,,
25507,138670,1,true,1,1,0,false,,,,true,1,1,0,0,0,1,false,,,false,true,true,6,true,true,true,true,true,true,,,,,true,true,true,true,true,true,,,,,true,,true,,true,,true,,,,,,,true,true,,true,true,,,,true,true,,,,,,true,,,false,,
25508,139633,1,true,1,1,0,true,1,1,0,true,0,1,0,1,1,0,true,0,1,true,true,true,12,true,true,true,false,true,true,false,false,false,false,true,true,true,true,true,true,false,false,true,false,true,true,false,,true,true,true,false,false,false,false,false,false,false,true,false,true,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,,
25509,201972029,1,true,10,5,0,true,2,1,2,true,3,2,0,1,1,2,true,0,1,true,false,true,4,false,true,true,false,true,true,false,false,false,false,true,false,true,true,true,true,false,false,true,true,true,true,false,,true,false,false,false,false,false,true,false,false,false,false,false,true,false,true,false,false,true,true,true,false,false,false,false,false,false,false,false,,
25510,127360,1,false,,,,true,2,1,1,true,1,1,0,1,1,0,true,1,1,true,true,true,36,true,true,true,false,true,true,false,false,false,false,true,true,true,true,true,true,false,false,true,false,false,false,true,,true,true,false,false,false,false,false,false,false,true,true,true,true,true,false,false,false,true,true,false,false,false,false,false,true,false,false,false,,
25511,121374,1,true,1,1,0,true,1,1,0,true,0,0,1,0,0,1,false,,,true,true,true,12,true,true,true,true,true,true,,true,true,,true,true,true,true,true,true,,,true,,true,,false,,true,true,,,true,,,,,false,true,,true,,true,,true,true,true,,,,,,,,,false,,
25512,304811033,1,true,0,10,0,true,1,2,0,false,,,,,,,false,,,false,true,true,0,false,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,,
25513,106788,2,true,0,80,0,true,0,0,2,false,,,,,,,true,0,1,true,true,true,12,true,true,true,true,true,true,,,true,,true,true,true,true,true,true,,,true,true,true,true,true,,true,,false,,true,,,,,false,true,true,true,true,true,,,true,true,,,,,,true,,,false,,
25514,130486,1,true,3,3,0,true,1,1,0,false,,,,,,,true,0,1,true,true,true,3,true,true,true,false,true,true,false,true,true,false,true,false,true,false,true,true,false,false,false,true,false,false,true,,true,false,true,false,false,false,false,false,false,false,true,false,true,false,true,false,false,true,true,false,true,false,false,false,false,true,false,true,2022,15
25515,124712,8,true,0,2,0,true,1,1,0,false,,,,,,,false,,,false,false,true,15,true,true,true,false,true,true,,,,,true,,true,true,,true,,,,,true,,true,,true,true,,true,true,,,,,false,true,,,true,true,,,true,true,,,,,,,true,,false,,
25516,137346,1,true,1,1,0,true,1,1,0,true,1,1,1,1,1,0,false,,,true,true,true,3,true,true,true,true,true,true,true,true,,,true,true,true,true,true,true,,,true,true,true,false,true,,true,true,,,true,,,,,true,true,true,true,true,true,,,true,true,,false,,,,true,,,false,,
