id,eiin,institution_type,maximum_level,student_type,approval_status,management_type,mpo_status,has_technical_attachment,technical_type,teaching_medium_bangla,teaching_medium_english,teaching_medium_english_version,teaching_medium_arabic,shifts_operated,has_build_approval,has_teaching_approval,has_full_approval,has_no_approval
1325,114842,1,2,3,,1,3,FALSE,,TRUE,TRUE,FALSE,FALSE,1,TRUE,TRUE,TRUE,FALSE
1326,114404,1,2,1,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1327,108848,4,6,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
1328,e910c9fe-22e1-45b7-bd47-df17a54680c1,1,2,3,,2,3,FALSE,,TRUE,,,,2,,,,TRUE
1329,308694035,1,2,3,,2,2,FALSE,,TRUE,,,,2,,TRUE,,
1330,306860167,1,2,3,,2,3,FALSE,,TRUE,,,,1,TRUE,TRUE,,
1331,101934,4,9,3,,2,1,FALSE,,TRUE,TRUE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE
1332,110881,3,4,2,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1333,134371,6,3,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
1334,119698,4,6,3,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1335,208487009,5,10,1,,2,3,FALSE,,TRUE,TRUE,TRUE,TRUE,3,,,FALSE,TRUE
1336,201533012,1,2,3,,2,2,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
1337,552747001,1,2,3,,3,3,FALSE,,TRUE,,,,1,,,,TRUE
1338,201533005,1,1,3,,2,2,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
1339,115000,1,1,2,,2,1,FALSE,,TRUE,,,,1,,TRUE,TRUE,
1340,105673,1,2,3,,2,1,TRUE,1,TRUE,,,,1,TRUE,TRUE,TRUE,
1341,404480002,5,5,2,,2,2,FALSE,,TRUE,,,TRUE,1,TRUE,TRUE,TRUE,
1342,120427,1,1,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,FALSE
1343,208487011,1,1,3,,2,2,FALSE,,TRUE,FALSE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE
1344,116642,1,2,2,,2,1,TRUE,1,TRUE,,,,1,,,TRUE,
1345,100669001,1,1,3,,3,2,FALSE,,TRUE,,,,1,,TRUE,,
1346,401855002,5,2,,,2,2,FALSE,,TRUE,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,FALSE
1347,113322,1,2,3,,1,3,TRUE,1,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
1348,114019,1,2,3,,1,3,TRUE,1,TRUE,,,,1,TRUE,TRUE,TRUE,
1349,105006,1,2,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1350,302918007,5,15,1,,2,2,FALSE,,TRUE,,,TRUE,1,TRUE,TRUE,TRUE,
1351,116476,1,2,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,FALSE
1352,101446,1,2,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,FALSE
1353,302614073,1,2,3,,3,2,FALSE,,TRUE,,,,2,,TRUE,TRUE,
1354,109508,1,2,3,,2,1,TRUE,1,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
1355,113550,4,6,2,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1356,119864,4,6,3,,2,1,FALSE,,TRUE,TRUE,,TRUE,1,,,TRUE,
1357,3759b38f-47be-45df-816e-224b86ea45c4,1,2,3,,3,2,FALSE,,TRUE,,,,2,,,,TRUE
1358,104320,1,2,3,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1359,113992,1,2,2,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1360,117235,4,6,2,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1361,130099,1,2,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1362,101614,4,6,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1363,117745,1,2,3,,2,1,FALSE,,TRUE,,,,2,,,TRUE,
1364,107078,1,2,3,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1365,114497,1,2,3,,2,1,FALSE,,TRUE,,,,1,FALSE,FALSE,TRUE,
1366,114466,1,2,3,,1,3,TRUE,1,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
1367,123915,2,3,3,,3,1,FALSE,,TRUE,,,,1,,,TRUE,
1368,107392,1,2,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1369,104472,1,2,3,,2,1,FALSE,,TRUE,,,,1,FALSE,TRUE,TRUE,
1370,108770,1,2,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1371,117803,4,6,3,,2,2,FALSE,,TRUE,,,,1,,TRUE,TRUE,
1372,207536004,4,1,3,,2,2,FALSE,,TRUE,TRUE,FALSE,TRUE,1,TRUE,TRUE,FALSE,FALSE
1373,609127007,1,2,3,,2,2,FALSE,,TRUE,,,,2,TRUE,TRUE,TRUE,
1374,302614129,1,2,3,,2,2,FALSE,,TRUE,,,,2,TRUE,TRUE,,
1375,107064,1,2,3,,2,1,FALSE,,TRUE,,,,1,,TRUE,TRUE,
1376,112489,1,2,3,,2,1,TRUE,1,TRUE,,,,1,TRUE,TRUE,TRUE,
1377,133720,1,2,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,TRUE,TRUE,FALSE
1378,102903,1,2,1,,2,1,FALSE,,TRUE,,,,1,,TRUE,TRUE,
1379,123934,1,2,3,,2,1,TRUE,1,TRUE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,FALSE
1380,306768081,1,2,3,,3,3,FALSE,,TRUE,,,,1,TRUE,TRUE,,
1381,116397,1,2,3,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1382,558542014,5,12,1,,2,3,FALSE,,TRUE,TRUE,FALSE,TRUE,3,TRUE,TRUE,TRUE,FALSE
1383,135198,3,3,2,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1384,113054,1,2,3,,3,1,FALSE,,TRUE,TRUE,,,1,TRUE,TRUE,TRUE,
1385,123573,1,2,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,3,TRUE,FALSE,FALSE,FALSE
1386,116723,4,8,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
1387,111004,1,2,3,,2,1,TRUE,1,TRUE,,,,1,,,TRUE,
1388,100972,1,2,3,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1389,119711,4,6,3,,2,1,FALSE,,TRUE,,,,1,,TRUE,TRUE,
