id,eiin,building_no,building_name,foundation_floor_count,year_built,total_floor_count,total_room_count,vertical_expansion_possible,type,condition
198080,a7d51a83-ea4c-4c16-bfbf-c91909ff5167,1,1,4,2025,4,12,false,1,1
198081,a7d51a83-ea4c-4c16-bfbf-c91909ff5167,2,2,0,2022,1,3,false,2,1
198082,306876051,1,01,0,2008,0,9,false,2,1
198083,306876051,2,02,0,2008,0,3,false,2,1
198095,129215,1,1,0,1999,0,2,false,3,2
198096,129215,2,2,0,2004,0,2,false,2,1
198097,134225,1,Building 1,3,2000,2,10,true,1,1
198098,134225,2,Building 2,2,2008,1,8,true,1,1
198099,456194134,1,Academic,1,2005,1,7,false,2,1
198100,101674,1,Babhon 1,1,2001,1,3,false,1,1
198101,101674,2,Babhon 2,0,2005,1,2,false,1,1
198102,101674,3,Babhon 3,0,2010,1,2,false,3,1
198103,73f2e432-6216-4655-9611-7986b2d2a7e3,1,1,0,2022,0,4,false,3,1
198104,73f2e432-6216-4655-9611-7986b2d2a7e3,2,2,0,2022,0,2,false,3,1
198105,73f2e432-6216-4655-9611-7986b2d2a7e3,3,3,0,2022,0,2,false,3,1
198106,108613,1,1,2,1995,1,3,true,1,1
198107,108613,2,2,0,2000,1,3,false,2,2
198108,108613,3,3,0,2000,1,3,false,2,2
198109,108613,4,4,0,2005,1,2,false,3,1
198122,456120003,1,No,0,2014,0,9,false,3,1
198123,456120003,2,NO,0,2014,0,3,false,3,1
198124,456120003,3,NO,0,2014,0,4,false,3,1
198125,126643,1,vobon 01,2,1994,1,3,false,1,1
198126,126643,2,vobon 02,4,2018,1,3,true,1,1
198127,126643,3,vobon 03,1,2006,1,10,false,2,1
198131,103681,1,ADMINISTRATION BUILDING.,3,2003,3,11,false,1,1
198132,103681,2,ACADEMIC BUILDING 1,2,2007,2,3,false,1,1
198133,103681,3,VOCATIONAL BUILDING.,4,2020,4,12,false,1,1
198134,103681,4,ACADEMIC BUILDING 2,4,2021,4,10,false,1,1
198142,121517,1,1,0,1984,0,9,false,2,1
198143,121517,2,2,0,2005,0,3,false,2,1
198144,113074,1,1,0,2018,0,2,false,2,1
198145,113074,2,2,0,2002,0,5,false,3,1
198146,134035,1,Building,6,2008,3,30,true,1,1
198151,401807004,1,1,1,2003,1,9,false,2,1
198152,401807004,2,2,5,2023,2,4,true,1,1
198154,121128,1,Campus 1,4,2018,1,3,true,1,1
198155,121128,2,Campus 2,1,2009,1,5,false,2,1
198166,109221,1,Mail Building,4,2020,4,12,false,1,1
198167,109221,2,Angel Bhaban,0,2009,1,1,false,2,1
198168,109221,3,Library Bhaban,0,2014,1,2,false,2,1
198197,126658,1,vobon 01,1,1999,1,7,false,2,1
198198,126658,2,vobon 2,2,2002,1,3,true,2,1
198199,126658,3,vobon 03,1,2023,1,1,false,2,1
198200,108752,1,1,1,1998,1,5,true,2,1
198201,108752,2,2,1,1998,1,5,true,2,1
198202,108752,3,3,2,2002,2,8,true,1,1
198203,108752,4,4,4,2015,2,8,true,1,1
198204,108752,1,1,1,1998,1,5,true,2,1
198205,108752,2,2,1,1998,1,5,true,2,1
198206,108752,3,3,2,2002,2,8,true,1,1
198207,108752,4,4,4,2015,2,8,true,1,1
198208,108752,1,1,1,1998,1,5,true,2,1
198209,108752,2,2,1,1998,1,5,true,2,1
198210,108752,3,3,2,2002,2,8,true,1,1
198211,108752,4,4,4,2015,2,8,true,1,1
198212,108752,1,1,1,1998,1,5,true,2,1
198213,108752,2,2,1,1998,1,5,true,2,1
198214,108752,3,3,2,2002,2,8,true,1,1
198215,108752,4,4,4,2015,2,8,true,1,1
198216,108752,1,1,1,1998,1,5,true,2,1
198217,108752,2,2,1,1998,1,5,true,2,1
198218,108752,3,3,2,2002,2,8,true,1,1
198219,108752,4,4,4,2015,2,8,true,1,1
198220,108752,1,1,1,1998,1,5,true,2,1
198221,108752,2,2,1,1998,1,5,true,2,1
198222,108752,3,3,2,2002,2,8,true,1,1
198223,108752,4,4,4,2015,2,8,true,1,1
198224,108752,1,1,1,1998,1,5,true,2,1
198225,108752,2,2,1,1998,1,5,true,2,1
198226,108752,3,3,2,2002,2,8,true,1,1
198227,108752,4,4,4,2015,2,8,true,1,1
198228,108752,1,1,1,1998,1,5,true,2,1
198229,108752,2,2,1,1998,1,5,true,2,1
198230,108752,3,3,2,2002,2,8,true,1,1
198231,108752,4,4,4,2015,2,8,true,1,1
198232,108752,1,1,1,1998,1,5,true,2,1
198233,108752,2,2,1,1998,1,5,true,2,1
198234,108752,3,3,2,2002,2,8,true,1,1
198235,108752,4,4,4,2015,2,8,true,1,1
198236,108752,1,1,1,1998,1,5,true,2,1
198237,108752,2,2,1,1998,1,5,true,2,1
198238,108752,3,3,2,2002,2,8,true,1,1
198239,108752,4,4,4,2015,2,8,true,1,1
198240,108752,1,1,1,1998,1,5,true,2,1
198241,108752,2,2,1,1998,1,5,true,2,1
198242,108752,3,3,2,2002,2,8,true,1,1
198243,108752,4,4,4,2015,2,8,true,1,1
198244,108752,1,1,1,1998,1,5,true,2,1
198245,108752,2,2,1,1998,1,5,true,2,1
198246,108752,3,3,2,2002,2,8,true,1,1
198247,108752,4,4,4,2015,2,8,true,1,1
198248,108752,1,1,1,1998,1,5,true,2,1
198249,108752,2,2,1,1998,1,5,true,2,1
198250,108752,3,3,2,2002,2,8,true,1,1
198251,108752,4,4,4,2015,2,8,true,1,1
198252,108752,1,1,1,1998,1,5,true,2,1
198253,108752,2,2,1,1998,1,5,true,2,1
198254,108752,3,3,2,2002,2,8,true,1,1
198255,108752,4,4,4,2015,2,8,true,1,1
198256,108752,1,1,1,1998,1,5,true,2,1
198257,108752,2,2,1,1998,1,5,true,2,1
198258,108752,3,3,2,2002,2,8,true,1,1
198259,108752,4,4,4,2015,2,8,true,1,1
198260,108752,1,1,1,1998,1,5,true,2,1
198261,108752,2,2,1,1998,1,5,true,2,1
198262,108752,3,3,2,2002,2,8,true,1,1
198263,108752,4,4,4,2015,2,8,true,1,1
198264,108752,1,1,1,1998,1,5,true,2,1
198265,108752,2,2,1,1998,1,5,true,2,1
198266,108752,3,3,2,2002,2,8,true,1,1
198267,108752,4,4,4,2015,2,8,true,1,1
198268,108752,1,1,1,1998,1,5,true,2,1
198269,108752,2,2,1,1998,1,5,true,2,1
198270,108752,3,3,2,2002,2,8,true,1,1
198271,108752,4,4,4,2015,2,8,true,1,1
198272,108752,1,1,1,1998,1,5,true,2,1
198273,108752,2,2,1,1998,1,5,true,2,1
198274,108752,3,3,2,2002,2,8,true,1,1
198275,108752,4,4,4,2015,2,8,true,1,1
198276,108752,1,1,1,1998,1,5,true,2,1
198277,108752,2,2,1,1998,1,5,true,2,1
198278,108752,3,3,2,2002,2,8,true,1,1
198279,108752,4,4,4,2015,2,8,true,1,1
198280,108752,1,1,1,1998,1,5,true,2,1
198281,108752,2,2,1,1998,1,5,true,2,1
198282,108752,3,3,2,2002,2,8,true,1,1
198283,108752,4,4,4,2015,2,8,true,1,1
198284,119948,1,1,0,2005,1,10,false,2,1
198291,457274090,1,?,1,2019,1,2,false,2,1
198292,457274090,2,?,1,2019,1,4,false,2,1
198296,113909,1,1,0,1999,1,4,false,2,1
198297,113909,2,2,0,2008,1,6,false,2,1
198304,117031,1,Akadamik --1,7,2023,4,14,true,1,1
198305,117031,2,Akadamik --2,1,2000,1,4,false,2,1
198306,117031,3,Akadamik ---3,1,2016,1,4,false,3,2
198307,117031,4,Akadamik,1,2000,1,1,true,1,1
198310,100255,1,1,4,1996,3,8,false,1,1
198311,100255,2,1,4,2004,2,3,true,1,1
198321,129498,1,Block A,3,2024,3,7,false,1,1
198322,129498,2,Block B,1,1950,1,4,false,1,3
198323,129498,3,Block C,2,1998,2,4,false,1,1
198324,129498,4,Block D,4,2012,3,9,true,1,1
198325,129498,5,Block E,0,1915,1,4,false,2,2
198326,129498,6,Block F,0,1915,1,2,false,2,1
198331,139827,1,GREENFIELD CAMPUS,10,2007,10,15,false,1,1
198332,135343,1,1,6,2012,2,12,true,1,1
198333,135343,1,1,6,2012,2,12,true,1,1
198334,135343,1,1,6,2012,2,12,true,1,1
198335,135343,1,1,6,2012,2,12,true,1,1
198336,135343,1,1,6,2012,2,12,true,1,1
198337,135343,1,1,6,2012,2,12,true,1,1
198338,135343,1,1,6,2012,2,12,true,1,1
198339,135343,1,1,6,2012,2,12,true,1,1
198340,135343,1,1,6,2012,2,12,true,1,1
198341,135343,1,1,6,2012,2,12,true,1,1
198342,135343,1,1,6,2012,2,12,true,1,1
