id,eiin,strengthening_reading_habits_scheme_available,trained_organizer_available,books_registered,materials_received,book_shelf_available,chairs_and_tables_for_reading,book_supply_register_available,sixth_grade_members_count,seventh_grade_members_count,eighth_grade_members_count,ninth_grade_members_count,tenth_grade_members_count,honorarium_provided,visited_by_assistant_managers,member_register,book_issued,sixth_grade_books_issued_count,sixth_grade_books_received,seventh_grade_books_issued_count,seventh_grade_books_received,eighth_grade_books_issued_count,eighth_grade_books_received,ninth_grade_books_issued_count,ninth_grade_books_received,tenth_grade_books_issued_count,tenth_grade_books_received,manual_distributed,distribution_info_sent,visited,visited_by_monitoring_officer,visited_by_scheme_officer,visited_by_maushi,visited_by_others,books_received_on,sixth_grade_books_provided,seventh_grade_books_provided,eighth_grade_books_provided,ninth_grade_books_provided,tenth_grade_books_provided
1192,108717,true,true,true,true,true,false,true,18,22,17,15,13,false,true,true,true,17,17,17,17,17,16,17,17,17,17,true,true,true,true,false,false,false,01-01-2024,18,18,17,17,15
1193,136893,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,108752,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1195,111021,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,114422,true,false,true,true,true,true,true,10,12,15,18,20,true,true,true,true,16,16,15,15,20,20,20,20,20,20,true,true,true,true,false,true,false,02-02-2024,50,40,45,45,40
1197,118960,true,true,true,true,true,false,true,22,21,23,27,21,false,true,true,true,22,22,21,21,23,22,27,22,21,20,true,true,true,true,false,false,false,01-06-2019,36,33,36,36,28
1198,130439,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,120505,true,true,true,true,true,true,true,10,12,13,15,18,false,true,true,true,30,28,35,30,40,35,30,25,30,25,true,true,true,true,true,,,10-01-2025,52,58,73,81,58
1200,108662,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1201,116640,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,129961,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,105058,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,123660,true,true,true,true,true,true,true,20,20,19,20,18,false,true,true,true,18,18,17,17,17,17,16,16,17,17,true,true,true,true,,,,29-12-2023,18,19,17,18,16
1205,131349,true,true,true,true,true,true,true,32,22,16,16,15,false,true,true,true,50,50,24,24,17,17,15,12,20,20,true,true,true,false,true,false,false,01-01-2023,36,38,34,36,32
1206,129799,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1207,113985,true,false,true,true,true,true,true,55,50,45,42,43,true,true,true,true,60,50,55,55,75,40,55,48,40,40,true,true,true,true,,,,02-09-2023,60,55,75,55,40
1208,110664,true,false,true,true,true,false,true,40,40,40,40,40,true,false,true,true,40,40,40,40,40,40,40,40,40,40,true,true,false,,,,,01-01-2015,48,40,40,40,40
1209,101599,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,115445,false,false,true,false,true,true,true,40,40,36,27,22,true,false,true,true,20,5,25,12,30,15,27,13,22,10,false,false,false,false,false,false,false,15-12-2023,120,115,110,80,80
1211,108748,true,true,true,true,false,true,true,16,14,28,12,10,false,false,true,true,18,18,18,18,17,17,18,18,15,15,false,false,true,false,true,false,false,03-01-2024,18,18,17,18,15
1212,136530,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,108831,true,true,true,true,true,true,true,20,20,20,15,15,true,true,true,true,15,15,14,14,13,13,10,10,10,10,true,true,true,true,false,false,false,02-01-2024,18,18,17,17,15
1214,109511,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1215,128688,true,true,true,true,true,true,true,54,54,51,54,42,true,true,true,true,50,25,48,28,50,48,52,35,15,10,true,true,true,true,,,,08-02-2024,54,54,51,54,48
1216,119627,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,104556,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,119710,true,false,true,true,true,true,true,30,27,27,24,0,false,false,true,true,30,0,27,0,28,0,28,0,0,0,true,true,false,,,,,31-12-2024,40,35,35,30,0
1219,119640,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1220,116739,true,true,true,true,true,false,true,21,32,22,21,10,true,false,true,true,34,34,32,32,34,34,32,32,30,30,true,true,true,true,false,false,false,15-01-2024,34,36,34,32,30
1221,139404,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,115444,true,true,true,false,true,true,true,20,20,20,20,20,false,true,true,true,40,20,40,20,42,20,25,20,15,10,false,false,false,false,false,false,false,01-07-2024,18,19,20,15,15
1223,135343,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1224,119457,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,205158005,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,120420,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1227,110691,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,127850,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,123732,true,true,true,true,true,true,true,25,20,30,15,10,true,true,true,true,92,92,91,91,111,111,58,58,48,45,true,true,true,,true,,,01-01-2013,36,37,34,35,31
1230,139638,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,137742,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,130235,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,107816,true,true,true,true,true,true,true,20,20,20,20,20,true,false,true,true,270,265,354,348,300,286,228,222,174,168,true,true,true,true,true,,,18-04-2016,36,36,34,3430,
1234,113039,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1235,126794,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,405079002,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1237,603626004,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,130590,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,115228,true,true,true,true,true,true,true,35,35,30,0,0,false,false,true,true,80,70,70,65,90,88,0,0,0,0,true,true,true,true,false,false,false,03-03-2024,80,70,90,0,0
1240,119716,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,121631,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,111040,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,106785,true,true,true,true,true,true,true,50,25,20,20,15,false,true,true,true,50,50,19,19,16,16,0,0,12,12,true,true,true,,true,,,16-01-2024,54,54,48,54,48
1244,121792,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,127149,true,true,true,true,false,true,false,46,51,42,37,37,false,false,true,false,,,,,,,,,,,false,false,false,,,,,04-12-2023,66,72,75,67,60
1246,137333,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1247,116650,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,201582006,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1249,100299,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,119634,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,123664,true,true,true,true,true,true,true,30,25,25,20,15,false,true,true,true,50,50,40,40,30,30,25,25,20,20,true,true,true,,true,,true,28-12-2023,18,19,17,18,16
1252,139175,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1253,108698,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254,123929,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
