id,eiin,new_building_space_available,new_building_space_amount,normal_class_room_count,multimedia_auditorium_room_count,multimedia_class_room_count,multimedia_interactive_class_room_count,headmaster_room_count,office_room_count,science_lab_count,boys_common_room_count,girls_common_room_count,teacher_common_room_count,hostel_count,auditorium_count,educational_materials_room_count,smart_board_tv_room_count,ict_lab_count,library_present,book_count,has_assistant_librarian,has_assistant_library_related_teacher,has_ict_lab,working_desktop_count,working_laptop_count,non_lab_desktop_count,non_lab_laptop_count,has_ict_teacher,ict_teacher_count,has_ict_capable_teacher,internet_used_for_teaching,is_exam_center,public_exam_center,is_registered_in_other_institute,total_registered_in_other_institute,has_internet,broadband,wifi,modem,mobile_hot_spot,total_building_number
38978,104581,true,5,16,1,1,0,1,1,0,0,1,1,1,1,1,0,1,true,6532,true,,true,1,17,0,0,false,,true,true,false,Amirabad Sufia Alia Madrasa,false,,true,,true,,,5
38979,109214,true,20,12,0,1,0,1,1,1,1,1,1,0,1,1,0,1,true,545,true,,true,0,17,1,1,false,,true,true,false,Aral GL SCHOOL AND College,false,,true,,,false,true,5
38980,139213,true,17,12,0,0,0,1,1,1,0,1,0,0,0,1,0,0,true,1000,false,false,false,,,0,1,false,,true,true,false,SALNA,true,31,true,false,true,,true,2
38981,139566,false,,18,1,1,1,2,1,1,0,1,1,0,1,3,0,1,true,2000,false,true,true,3,1,1,1,true,1,,true,false,I.T Government High School,true,64,true,,true,,,3
38982,136095,false,0,8,0,0,0,1,1,0,0,1,1,0,0,0,0,0,true,400,false,false,false,,,1,1,true,1,false,true,false,KONABARI,true,16,true,true,true,false,true,3
38983,f0a80eba-e994-4327-9ab9-c648d2b54c44,true,25,8,0,0,0,0,1,0,0,0,1,0,0,2,0,0,false,,false,false,false,,,0,0,false,,false,false,false,Dokhin Ujan char Alim Madrasa,false,,false,,,,,3
38984,130161,true,3,5,1,0,0,1,1,0,0,0,0,0,0,1,0,1,false,,false,false,true,10,7,0,3,false,,true,true,false,dubag school and college,false,,true,,true,,,1
38985,127933,true,30,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,false,,false,true,false,,,0,0,false,,true,true,false,JAFORPARA DARUL ULUM KAMIL MADRASHA,false,,true,,,true,true,2
38986,117001,true,80,10,0,1,0,1,1,1,0,1,1,0,0,0,0,0,true,2463,false,false,false,,,1,0,true,1,,true,false,Dumuria sorkari Garls High school,false,,true,,true,,,2
38987,106946,true,30,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,false,,false,true,false,,,1,1,false,,true,true,false,Ayesha (Ra) Mohila Qawmi Madrasha,false,,true,,true,,,2
38988,127873,true,30,11,0,0,0,1,1,0,0,1,1,0,1,0,0,0,false,,false,true,false,,,0,0,false,,true,true,false,VENDABARI BOHUMUKHI HIGH SCHOOL,false,,true,,true,,,2
38989,134549,true,35,12,0,0,0,1,1,0,0,0,1,0,0,0,0,0,false,,false,true,false,,,1,1,true,1,,false,false,সিলেট সরকারী আলিয়া মাদ্রাসা,false,,true,,true,,,3
38990,c3624213-fe6c-40eb-a2b2-0ecc951ac488,false,,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,false,,false,false,false,,,1,1,false,,false,false,false,Shgadda jonul ummol madrasha,false,,true,false,true,,true,1
38991,138517,true,40,4,0,1,0,1,1,0,0,1,1,0,0,0,0,0,false,,true,,false,,,1,1,false,,true,false,false,Satbariya Technical & Business Management College,false,,true,,,true,true,1
38992,558576001,true,20,6,1,0,0,0,1,0,0,1,0,0,0,0,0,0,false,,false,false,false,,,1,0,true,1,,true,false,VENDABARI BOHUMUKI HIGH SCHOOL,true,17,true,,true,,,2
38993,119585,true,100,19,0,0,0,1,1,1,0,1,4,0,1,1,0,0,true,3500,true,,false,,,3,0,true,2,,true,true,KAHALOO SIDDIQUIA FAZIL DEGREE MADRASHA,false,,true,true,,true,,3
38994,400108001,true,260,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,false,,false,false,false,,,0,0,false,,false,false,false,",Jamiya islamiya borkotiya Madrasa Bagerhat",false,,true,false,true,false,false,2
38995,400108003,true,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,false,false,false,,,0,0,false,,false,false,false,Fokirhat dhonpota madrasa,false,,false,false,false,false,false,1
38996,553282053,true,6,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,false,,false,true,false,,,0,0,false,,true,false,false,Saigari2,true,2,true,false,false,false,true,4
38997,114269,true,20,20,0,1,0,1,1,1,1,1,2,0,1,1,1,1,true,3050,false,true,true,1,0,1,0,true,1,,true,false,Gopalpur Government College,false,,true,,true,true,false,6
38998,117014,true,30,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,false,,false,false,false,,,0,0,false,,true,true,true,N G C And C K High school,false,,true,,true,,,1
38999,129514,true,40,13,0,0,0,1,1,1,0,1,1,0,0,1,0,0,true,2021,false,false,false,,,1,0,false,,true,true,false,RUSTOMPUR NOMOUZA (S.) DAKHIL MADRASAH,false,,true,,true,,,4
39000,113802,false,,5,0,0,0,1,1,0,0,0,1,0,1,1,0,0,false,,true,,false,,,0,0,true,1,,false,false,Taragonj pilot High school,false,,true,true,true,,,2
